,mAP_50,mAP_50_95
0,0.958,0.631
1,0.967,0.567
2,0.98,0.637
3,0.995,0.621
4,0.964,0.647
5,0.995,0.547
6,0.975,0.637
7,0.945,0.544
8,0.792,0.403
9,0.881,0.566
