,mAP_50,mAP_50_95
0,0.94,0.7
1,0.992,0.706
2,0.965,0.663
3,0.995,0.683
4,0.971,0.692
5,0.992,0.551
6,0.979,0.565
7,0.959,0.532
8,0.768,0.378
9,0.82,0.498
