,mAP_50,mAP_50_95
0,0.952,0.696
1,0.974,0.656
2,0.977,0.64
3,0.976,0.658
4,0.995,0.688
5,0.995,0.571
6,0.975,0.65
7,0.955,0.552
8,0.816,0.406
9,0.839,0.571
