,mAP_50,mAP_50_95
0,0.933,0.677
1,0.98,0.645
2,0.974,0.684
3,0.995,0.711
4,0.995,0.707
5,0.995,0.607
6,0.964,0.665
7,0.982,0.536
8,0.699,0.349
9,0.744,0.511
