,mAP_50,mAP_50_95
0,0.959,0.668
1,0.946,0.569
2,0.974,0.652
3,0.987,0.647
4,0.972,0.649
5,0.995,0.569
6,0.972,0.582
7,0.956,0.529
8,0.748,0.359
9,0.853,0.485
