,mAP_50,mAP_50_95
0,0.963,0.712
1,0.995,0.729
2,0.954,0.659
3,0.955,0.67
4,0.984,0.721
5,0.991,0.54
6,0.964,0.573
7,0.923,0.529
8,0.744,0.36
9,0.88,0.52
