,mAP_50,mAP_50_95
0,0.94,0.685
1,0.937,0.637
2,0.906,0.589
3,0.95,0.666
4,0.966,0.636
5,0.962,0.49
6,0.959,0.567
7,0.99,0.62
8,0.653,0.313
