,mAP_50,mAP_50_95
0,0.963,0.698
1,0.973,0.675
2,0.992,0.672
3,0.99,0.658
4,0.945,0.66
5,0.995,0.539
6,0.962,0.585
7,0.959,0.531
8,0.753,0.36
9,0.839,0.527
