,mAP_50,mAP_50_95
0,0.927,0.644
1,0.967,0.578
2,0.969,0.654
3,0.989,0.614
4,0.924,0.638
5,0.991,0.54
6,0.974,0.62
7,0.965,0.568
8,0.785,0.405
9,0.77,0.574
