,mAP_50,mAP_50_95
0,0.97,0.742
1,0.96,0.678
2,0.954,0.64
3,0.99,0.733
4,0.976,0.691
5,0.985,0.551
6,0.983,0.551
7,0.99,0.563
8,0.736,0.372
